path,change_type,added_lines,deleted_lines,fork_blob_sha,upstream_blob_sha,classification,likely_core_modification,owner_if_detectable,upstream_pr_if_detectable,reason_if_detectable,risk_on_upgrade,manual_review_required
.codespell-ignore-words.txt,M,﻿1,0,ca8086602e6a5cdea31ef00012646a5e740c6eae,89d3db89245d5f94675be57766e621093859a0a0,upstream_unmodified,FALSE,upstream,#12928,feat(release): CompatibilityMutator + fix inject() idempotence (PR 8) (#12928),LOW,FALSE
.codespellrc,M,10,1,a2eaccb505e91b5b4bb249ec82abfdd0357b9ef8,1c29ec047767e05489b7af2ae889d608424b021e,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
.composer-require-checker.json,M,2,0,5b773f3053f932aef3bf547952d20a0f0fd6eaeb,c347b0e1959d05aff73a8c589eb36e477b823a3d,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
.gitattributes,M,10,1,ac085e9bfa40c1699ec049d5c21a4d93cf7dd991,ff4369098af180782e1dcb8bf1083d40b542788f,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
.github/byte-identical.yml,A,155,0,,54ca94943c8e10fca51bcaa8f5bd13ea9fc756db,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
.github/docker-byte-identical.yml,D,0,53,d9c61bb0c2e772e55c1dbb891f3e76bd48803592,,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
.github/release-targets.yml,M,4,4,ffb0dc3642c91db8cad664bb8cf1930b689ae96a,1b23ba7673c786076dd2cfd2b9d419ac5562b8d7,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
.github/scripts/README.md,M,1,1,12707b817be9e04c595f865e7352670054d24fe4,9cc47147f4e631465f3ee87520feda0c35fd59c5,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
.github/scripts/lib/glob-expand.sh,A,230,0,,dfbe77ef5e8bc4103d3202c374d299377876c617,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
.github/scripts/list-manifest-paths.sh,A,70,0,,42100e71298309a7c569f02a3310749517407765,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
.github/scripts/sync-byte-identical.sh,M,151,64,e7f3622200ba39e7b4d2059891446e39b515597b,e5a554cda375c86a4241c5b0c13c553bb212ae3d,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
.github/scripts/validate-byte-identical.sh,M,88,26,d8e5c2f28d226a123d2d6cca69c2aead96b0124b,d7b836ff309e62e8f6430619400fa996c67bbdcf,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
.github/workflows/all-checks-passed.yml,M,7,3,92685edcd07c5223d216771befa7a4cfd3802889,879c81d0044c16ce9efd96fd1b981fa26a04d463,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
