path,kind,size_bytes,sha256,supports_questions
00-executive-summary.md,report_markdown,18380,71c81e66db57c6b8a051f65e7d2aacd9abc550f20f99eacf5f296d6ab262ed99,Q1-Q75
01-run-metadata.json,report_json,8334,aab7fe3bf2444aea3dc1e096fcd51014915a879daf2b6af7f282c5db96050e88,Q1
02-repository-baseline.md,report_markdown,11316,eebc6d10c6417012b139efd6207ced79aedb1f86ceec72c745273b4bd4db6393,Q1
03-question-status-matrix.csv,report_csv,64200,8f2d2922239bbc67621fa544ce045317516845129aa6c6b13114704cb60e7963,Q1-Q75
04-question-evidence.json,report_json,165526,4ae66e3a813d4a4ae68fbcd76fdb70f113433a578339ce79aeac11f570b7d147,Q1-Q75
05-upstream-fork-drift.md,report_markdown,16659,d34dbfeaeda6cbfd852d7d5694e65eff58ad1f8e531223dcd74e36ac3d8ccf95,Q1;Q2;Q36
06-module-drift-inventory.csv,report_csv,1728,c3b79580c756a773021e87658459cce4fa840658ec664c9cf96f833e6c25ef4b,Q36;Q70
07-core-modification-inventory.csv,report_csv,77247,90da5b5856174f55088cb40617ca08a1cc3d3ac8f50766b6762e09c78d65a931,Q1;Q36
08-dependency-runtime-inventory.csv,report_csv,3475,d334212c15f09caab3f99a2c78e0eadc96f717620e7d994c1eae981184c42cc3,Q31;Q37;Q55;Q70
09-test-and-ci-inventory.md,report_markdown,18531,d6c8860475ff55e2b49b3cf6ed13f5dd295138d3266f0ba5285799389beaef39,Q51;Q52;Q53;Q74;Q75
10-database-and-tenancy-evidence.md,report_markdown,10803,97d644d40fa2b1a875ecf21a6057af5fcd68cb1d5f9505d7afaca7ede358342f,Q11;Q57;Q58;Q60
11-authentication-authorization-evidence.md,report_markdown,13355,59eb678c7224138a1599a9309c8950ad83aa0eaceba38fc2526ca60e744dab79,Q4;Q5;Q6;Q7;Q8;Q9;Q10
12-fhir-nphies-billing-evidence.md,report_markdown,18364,94e435fdef74f7b6994f36dbc4cf29caf71aba4040949e075caa3e30407fdc53,Q27;Q28;Q30;Q65;Q66
13-localization-arabic-evidence.md,report_markdown,26250,9171c4f20d8e17b859195cc0f607d48f758a1cd5497ef3262e9513bb4bd938d4,Q18-Q26;Q61;Q71
14-frontend-ui-evidence.md,report_markdown,18453,53959247ae9ca32d71c5f7e77fedd0735515a18448b1fde051a0a1a875c516fb,Q34;Q59
15-security-compliance-code-evidence.md,report_markdown,16842,756267157a0702ca6ff57882573986eb092d24a5c028d5a1996d19195f71eebb,Q42-Q50;Q67;Q68;Q69;Q73
16-control-plane-constraints.md,report_markdown,41994,3740ea6f9c6a0efe989f7724e20b4ce9442790d1664b2982f2e8ab3a05885a8c,Q11-Q17;Q44
17-q36-module-byte-identity.md,report_markdown,13333,de0036781809bbbc167e43119d2f3de489ec9d8e21f7a9dc761f1082d5df8800,Q36
18-q72-ui-responsiveness-inventory.csv,report_csv,1388067,8cd4bd9e8185a3ba07e03f0662762dfcc604f98235c91e6143b7549c9de1a496,Q72;Q33
19-q72-ui-responsiveness-summary.md,report_markdown,21259,cc96348a5d0252020fa2550670f65dfecc95a3f79a098af6130986bf0ab99d76,Q72;Q33
20-unresolved-external-inputs.md,report_markdown,12435,4b6fb3e459a8f29411863636335b97dba22821358f56201c32404453571739ec,Q2;Q3;Q13;Q14;Q15;Q19;Q21;Q22;Q32;Q39;Q40;Q41;Q45;Q48
21-recommended-decision-updates.md,report_markdown,16486,acc835ed2f5cbf769185ce0d5e5c2273e7ce89b0afb08a4af32de472cde606bf,Q10;Q11;Q37;Q43;Q47;Q49;Q50;Q51;Q59;Q68;Q69;Q70
22-command-log.txt,report_markdown,47588,86595b28eeeb895e2c7a587223236c6e895e2f1973a8df8b5ed105e2c9ea4dae,Q1-Q75
24-reproduction-guide.md,report_markdown,15498,3d81f5ddc16cc96c0bfbdc3c14328e6432f65d30892ee2dd535f32c511e0600f,Q1-Q75
evidence/manifests/08b-js-dependency-runtime-inventory.csv,manifest,6682,982ff625ee2beeab8afcfb5446bdd243f0c83f1c46a09ec37e55adb9cf268b16,(supporting)
evidence/manifests/archive-sha256.txt,manifest,197,3bab4738d235e64bc043a459308d658b781e42cd098eed27e8e71fda753317db,(supporting)
evidence/manifests/dwv-locales.csv,manifest,618,430562fe8501541045ff5f3d5a4556bb8fd4595cd3df8fc1d5670beafeecbfc1,Q61;Q71
evidence/manifests/fork-module-blobs.txt,manifest,88728,c79d7fc96b4d9a49f8266a09944d27c10af5f717db975fdc26ba319057b4220d,Q36;Q70
