locale,translation_json,overlay_json,key_count_translation,key_count_overlay,missing_translation_keys_vs_en,missing_overlay_keys_vs_en,runtime_available
de,true,true,114,3,0,0,YES-if-npm-install-run
en,true,true,114,3,0,0,YES-if-npm-install-run
es,true,true,114,3,0,0,YES-if-npm-install-run
fr,true,true,114,3,0,0,YES-if-npm-install-run
it,true,true,114,3,0,0,YES-if-npm-install-run
jp,true,true,114,3,0,0,YES-if-npm-install-run
ro,true,true,114,3,0,0,YES-if-npm-install-run
ru,true,true,114,3,1,0,YES-if-npm-install-run
zh,true,true,114,3,0,0,YES-if-npm-install-run
ar,false,false,0,0,114,3,NO-absent-from-dwv-0.27.1
